date,year,week,id_project,project_name,start_price,rank
2024-04-13,2024,15,12295,bloXmove Token,0.121427,74.0
2024-04-13,2024,15,5756,Dogeswap,4.52,75.0
2024-04-13,2024,15,10854,Inter Milan Fan Token,2.15,76.0
2024-04-13,2024,15,11734,MContent,1.826e-09,77.0
2024-04-13,2024,15,552,BOSAGORA,0.0164835,78.0
2024-04-13,2024,15,15963,Parex,0.49081,79.0
2024-04-13,2024,15,6156,CyberFi,0.191041,80.0
2024-04-13,2024,15,14669,Prism,0.00405892,81.0
2024-04-13,2024,15,13253,Witnet,0.00695916,82.0
2024-04-13,2024,15,8459,Franklin,0.0017102,83.0
2024-04-13,2024,15,1476,Ink,0.00084537,84.0
2024-04-13,2024,15,11493,Brazil Fan Token,0.083523,85.0
2024-04-13,2024,15,9879,NFTb,0.0104575,86.0
2024-04-13,2024,15,18990,REV3AL,0.0181833,87.0
2024-04-13,2024,15,13272,GenomesDAO,0.0132886,88.0
2024-04-13,2024,15,9091,dotmoovs,0.00612363,89.0
2024-04-13,2024,15,9824,Kick,0.021066,90.0
2024-04-13,2024,15,1228,Odyssey,4.826e-05,91.0
2024-04-13,2024,15,1202,SmartMesh,0.00348911,92.0
2024-04-13,2024,15,14463,Napoli Fan Token,2.24,93.0
2024-04-13,2024,15,8792,Ispolink,0.00194285,94.0
2024-04-13,2024,15,9814,Polychain Monsters,0.475532,95.0
2024-04-13,2024,15,4724,Decentr,0.00757086,96.0
2024-04-13,2024,15,1102,Populous,0.0423487,97.0
2024-04-13,2024,15,9462,CryptoBlades,0.549932,98.0
2024-04-13,2024,15,1333,SIX Network,0.0306153,99.0
2024-04-13,2024,15,1367,Radium,1.69,100.0
